2026-07-19 04:05:48 | INFO     | load_star_schema | All 8 required input files found in /home/claude/audit/final_repo/data/processed
2026-07-19 04:05:48 | INFO     | load_star_schema | Connected to PostgreSQL
2026-07-19 04:05:50 | INFO     | load_star_schema | Loaded source CSVs: jobs=14199, levels_fyi=62642, so_salary=23435, so_skills=65437, bridge=967209
2026-07-19 04:05:50 | INFO     | load_star_schema | --- Populating dimensions ---
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_date: inserted 8 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_country: inserted 189 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_experience_level: inserted 4 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_employment_type: inserted 4 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_company_size: inserted 3 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_remote_status: inserted 3 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_education_level: inserted 6 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_role_family: inserted 34 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_company: inserted 1632 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | dim_skill: inserted 181 new row(s), skipped 0 already present
2026-07-19 04:05:50 | INFO     | load_star_schema | --- Clearing fact and bridge tables before reload ---
2026-07-19 04:06:12 | INFO     | load_star_schema | All 8 required input files found in /home/claude/audit/final_repo/data/processed
2026-07-19 04:06:12 | INFO     | load_star_schema | Connected to PostgreSQL
2026-07-19 04:06:13 | INFO     | load_star_schema | Loaded source CSVs: jobs=14199, levels_fyi=62642, so_salary=23435, so_skills=65437, bridge=967209
2026-07-19 04:06:13 | INFO     | load_star_schema | --- Populating dimensions ---
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_date: inserted 8 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_country: inserted 189 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_experience_level: inserted 4 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_employment_type: inserted 4 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_company_size: inserted 3 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_remote_status: inserted 3 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_education_level: inserted 6 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_role_family: inserted 34 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_company: inserted 1632 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | dim_skill: inserted 181 new row(s), skipped 0 already present
2026-07-19 04:06:14 | INFO     | load_star_schema | --- Clearing fact and bridge tables before reload ---
2026-07-19 04:06:14 | INFO     | load_star_schema | Truncated fact_job_postings, fact_levels_compensation, fact_so_respondent, bridge_respondent_skill
2026-07-19 04:06:14 | INFO     | load_star_schema | --- Populating fact tables ---
2026-07-19 04:06:15 | INFO     | load_star_schema | fact_job_postings: loaded 14199 rows, skipped 0 (lookup failures)
2026-07-19 04:07:11 | INFO     | load_star_schema | All 8 required input files found in /home/claude/audit/final_repo/data/processed
2026-07-19 04:07:11 | INFO     | load_star_schema | Connected to PostgreSQL
2026-07-19 04:07:12 | INFO     | load_star_schema | Loaded source CSVs: jobs=14199, levels_fyi=62642, so_salary=23435, so_skills=65437, bridge=967209
2026-07-19 04:07:12 | INFO     | load_star_schema | --- Populating dimensions ---
